"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cote d'Ivoire","CIV","Net migration","SM.POP.NETM","","","200000","","","","","300000","","","","","400000","","","","","420000","","","","","430000","","","","","325000","","","","","375000","","","","","180000","","","","","-370000","","","","","-220000","","","","","50000","","","","",
"Cameroon","CMR","Net migration","SM.POP.NETM","","","0","","","","","-1000","","","","","-2500","","","","","-8000","","","","","-55000","","","","","-65000","","","","","-80000","","","","","-80000","","","","","-90000","","","","","-90000","","","","","-60000","","","","",
"Congo, Dem. Rep.","COD","Net migration","SM.POP.NETM","","","122650","","","","","241910","","","","","27450","","","","","100685","","","","","-446860","","","","","74515","","","","","1202404","","","","","-1006384","","","","","-241564","","","","","-43426","","","","","-95920","","","","",
"Congo, Rep.","COG","Net migration","SM.POP.NETM","","","0","","","","","500","","","","","6945","","","","","-7408","","","","","2097","","","","","1915","","","","","15531","","","","","35300","","","","","-13257","","","","","49872","","","","","-60000","","","","",
"Colombia","COL","Net migration","SM.POP.NETM","","","-253998","","","","","-281000","","","","","-289998","","","","","-286998","","","","","-273997","","","","","-254001","","","","","-223998","","","","","-190000","","","","","-159003","","","","","-143000","","","","","-144998","","","","",
"Comoros","COM","Net migration","SM.POP.NETM","","","-8491","","","","","-5500","","","","","-5500","","","","","10000","","","","","-4500","","","","","-4500","","","","","-3000","","","","","-6000","","","","","-10000","","","","","-10000","","","","","-10000","","","","",
"Cabo Verde","CPV","Net migration","SM.POP.NETM","","","-1167","","","","","4267","","","","","-34907","","","","","-27982","","","","","-20313","","","","","-27757","","","","","-6376","","","","","-2438","","","","","-9859","","","","","-25866","","","","","-11052","","","","",
"Costa Rica","CRI","Net migration","SM.POP.NETM","","","7905","","","","","7827","","","","","12638","","","","","17425","","","","","18876","","","","","17417","","","","","69202","","","","","89527","","","","","41792","","","","","30339","","","","","19658","","","","",
"Caribbean small states","CSS","Net migration","SM.POP.NETM","","","-247909","","","","","-316430","","","","","-289373","","","","","-284532","","","","","-303086","","","","","-387993","","","","","-249602","","","","","-181604","","","","","-174651","","","","","-127609","","","","","-124122","","","","",
"Cuba","CUB","Net migration","SM.POP.NETM","","","-205000","","","","","-250000","","","","","-190000","","","","","-160000","","","","","-270000","","","","","-69999","","","","","-120006","","","","","-163997","","","","","-149998","","","","","-193998","","","","","-79999","","","","",
"Curacao","CUW","Net migration","SM.POP.NETM","","","-7752","","","","","-4526","","","","","-5000","","","","","-13251","","","","","-8464","","","","","-14547","","","","","-11517","","","","","-17077","","","","","-6070","","","","","15363","","","","","5710","","","","",
"Cayman Islands","CYM","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Net migration","SM.POP.NETM","","","-43025","","","","","-7843","","","","","3053","","","","","-1215","","","","","-27634","","","","","17167","","","","","43195","","","","","53260","","","","","61830","","","","","44166","","","","","35000","","","","",
"Czech Republic","CZE","Net migration","SM.POP.NETM","","","24999","","","","","-129099","","","","","9999","","","","","9999","","","","","-52946","","","","","5671","","","","","29999","","","","","46002","","","","","47402","","","","","250889","","","","","29999","","","","",
"Germany","DEU","Net migration","SM.POP.NETM","","","666962","","","","","917575","","","","","714153","","","","","288662","","","","","23","","","","","1710683","","","","","3232654","","","","","744288","","","","","1217","","","","","31640","","","","","1249998","","","","",
"Djibouti","DJI","Net migration","SM.POP.NETM","","","18000","","","","","25000","","","","","34997","","","","","91193","","","","","9999","","","","","89998","","","","","-15000","","","","","-16501","","","","","-18151","","","","","-19965","","","","","-15996","","","","",
"Dominica","DMA","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Net migration","SM.POP.NETM","","","2256","","","","","21866","","","","","23256","","","","","14925","","","","","9319","","","","","32839","","","","","65466","","","","","74568","","","","","46306","","","","","87989","","","","","96839","","","","",
"Dominican Republic","DOM","Net migration","SM.POP.NETM","","","-43490","","","","","-56172","","","","","-70824","","","","","-87098","","","","","-118102","","","","","-134470","","","","","-144154","","","","","-150146","","","","","-152553","","","","","-153773","","","","","-153010","","","","",
"Algeria","DZA","Net migration","SM.POP.NETM","","","-284266","","","","","-121335","","","","","-247822","","","","","-224833","","","","","-81020","","","","","-93302","","","","","-128679","","","","","-164413","","","","","-205228","","","","","-357340","","","","","-143268","","","","",
"East Asia & Pacific (excluding high income)","EAP","Net migration","SM.POP.NETM","","","-1086544","","","","","-582028","","","","","-1239154","","","","","-1912183","","","","","-525665","","","","","-390019","","","","","-3110397","","","","","-1362174","","","","","-4975250","","","","","-8308340","","","","","-3728059","","","","",
"Early-demographic dividend","EAR","Net migration","SM.POP.NETM","","","-1127882","","","","","-2453929","","","","","-3192784","","","","","-4981537","","","","","1228808","","","","","-1903124","","","","","-8288636","","","","","-7729474","","","","","-14370853","","","","","-14314078","","","","","-12621653","","","","",
"East Asia & Pacific","EAS","Net migration","SM.POP.NETM","","","-479477","","","","","628975","","","","","-808879","","","","","-1454415","","","","","713290","","","","","392043","","","","","-2395809","","","","","-385097","","","","","-2992651","","","","","-5719538","","","","","-1457489","","","","",
"Europe & Central Asia (excluding high income)","ECA","Net migration","SM.POP.NETM","","","10238","","","","","224818","","","","","31783","","","","","-202389","","","","","237484","","","","","-1406767","","","","","-3419220","","","","","-2809431","","","","","-793952","","","","","58963","","","","","2121162","","","","",
"Europe & Central Asia","ECS","Net migration","SM.POP.NETM","","","1533274","","","","","377468","","","","","2318325","","","","","1429251","","","","","833519","","","","","949003","","","","","1950916","","","","","480855","","","","","6969397","","","","","7418656","","","","","5547385","","","","",
"Ecuador","ECU","Net migration","SM.POP.NETM","","","-9002","","","","","-5500","","","","","-5499","","","","","-7198","","","","","-14001","","","","","-16998","","","","","-19000","","","","","-69999","","","","","-120002","","","","","-44999","","","","","-38001","","","","",
"Egypt, Arab Rep.","EGY","Net migration","SM.POP.NETM","","","-50100","","","","","-239700","","","","","-546796","","","","","-563569","","","","","-389781","","","","","-205428","","","","","-452508","","","","","-204143","","","","","-67708","","","","","-279228","","","","","-215681","","","","",
"Euro area","EMU","Net migration","SM.POP.NETM","","","974732","","","","","247447","","","","","2255999","","","","","1627705","","","","","745736","","","","","2441366","","","","","4907571","","","","","2840300","","","","","6201684","","","","","4638063","","","","","1575613","","","","",
