"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Tonga","TON","Net migration","SM.POP.NETM","","","103","","","","","-3147","","","","","-7635","","","","","-7889","","","","","-12542","","","","","-10902","","","","","-11082","","","","","-8701","","","","","-8129","","","","","-8196","","","","","-8078","","","","",
"South Asia (IDA & IBRD)","TSA","Net migration","SM.POP.NETM","","","-454109","","","","","-689461","","","","","-1196421","","","","","-650272","","","","","-2923138","","","","","-1873468","","","","","-701580","","","","","-3508471","","","","","-5336232","","","","","-9901386","","","","","-6280804","","","","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Net migration","SM.POP.NETM","","","-289589","","","","","-145765","","","","","-939399","","","","","-1062694","","","","","-1532915","","","","","-1288324","","","","","1225981","","","","","-1602370","","","","","-532299","","","","","-496807","","","","","-1688994","","","","",
"Trinidad and Tobago","TTO","Net migration","SM.POP.NETM","","","-57936","","","","","-61563","","","","","-29357","","","","","-30858","","","","","-34278","","","","","-45071","","","","","-31973","","","","","-32545","","","","","-13159","","","","","-11303","","","","","-5000","","","","",
"Tunisia","TUN","Net migration","SM.POP.NETM","","","-142495","","","","","-96523","","","","","-97065","","","","","-72068","","","","","85582","","","","","48999","","","","","140341","","","","","-36804","","","","","-139045","","","","","-32941","","","","","-32941","","","","",
"Turkey","TUR","Net migration","SM.POP.NETM","","","-259169","","","","","-319769","","","","","-314799","","","","","-367998","","","","","-77591","","","","","-150000","","","","","-200001","","","","","-149998","","","","","-100002","","","","","-50000","","","","","2000003","","","","",
"Tuvalu","TUV","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Net migration","SM.POP.NETM","","","26997","","","","","36024","","","","","118989","","","","","-22250","","","","","37181","","","","","68208","","","","","591285","","","","","-205874","","","","","-295952","","","","","-265317","","","","","-199999","","","","",
"Uganda","UGA","Net migration","SM.POP.NETM","","","125200","","","","","53330","","","","","-240530","","","","","-166660","","","","","-115340","","","","","233366","","","","","119995","","","","","-45737","","","","","-5000","","","","","-135000","","","","","-150000","","","","",
"Ukraine","UKR","Net migration","SM.POP.NETM","","","454164","","","","","267629","","","","","209851","","","","","104383","","","","","189092","","","","","0","","","","","74421","","","","","-462264","","","","","-165445","","","","","235195","","","","","195000","","","","",
"Upper middle income","UMC","Net migration","SM.POP.NETM","","","-3415868","","","","","-2173194","","","","","-3241026","","","","","-3085708","","","","","143271","","","","","-2069215","","","","","-6586993","","","","","-3565022","","","","","-3552469","","","","","-3082022","","","","","1549768","","","","",
"Uruguay","URY","Net migration","SM.POP.NETM","","","-6000","","","","","-34000","","","","","-136000","","","","","-60000","","","","","-30000","","","","","-30000","","","","","-20000","","","","","-26000","","","","","-104000","","","","","-50000","","","","","-30000","","","","",
"United States","USA","Net migration","SM.POP.NETM","","","958657","","","","","1495165","","","","","2840495","","","","","3872811","","","","","3279260","","","","","3686097","","","","","4568941","","","","","8692337","","","","","5149157","","","","","5070253","","","","","5007887","","","","",
"Uzbekistan","UZB","Net migration","SM.POP.NETM","","","308297","","","","","444080","","","","","444273","","","","","78675","","","","","-114387","","","","","-388436","","","","","-400002","","","","","-290000","","","","","-449997","","","","","-290000","","","","","-195001","","","","",
"St. Vincent and the Grenadines","VCT","Net migration","SM.POP.NETM","","","-9326","","","","","-10014","","","","","-8792","","","","","-7257","","","","","-7345","","","","","-7103","","","","","-8682","","","","","-7948","","","","","-5200","","","","","-5122","","","","","-5000","","","","",
"Venezuela, RB","VEN","Net migration","SM.POP.NETM","","","18874","","","","","3172","","","","","892","","","","","1094","","","","","1373","","","","","891","","","","","-572","","","","","-2061","","","","","-7648","","","","","-28395","","","","","-69121","","","","",
"British Virgin Islands","VGB","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Net migration","SM.POP.NETM","","","10270","","","","","3245","","","","","9407","","","","","1961","","","","","-3492","","","","","-11156","","","","","-4618","","","","","-3936","","","","","-5272","","","","","-6191","","","","","-3604","","","","",
"Vietnam","VNM","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","-813123","","","","","-324942","","","","","-332327","","","","","-394236","","","","","-216001","","","","","-772336","","","","","-877681","","","","","-200002","","","","",
"Vanuatu","VUT","Net migration","SM.POP.NETM","","","67","","","","","-506","","","","","1439","","","","","245","","","","","-3312","","","","","-2801","","","","","-295","","","","","-7087","","","","","-502","","","","","1135","","","","","603","","","","",
"World","WLD","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","",
"Samoa","WSM","Net migration","SM.POP.NETM","","","-1453","","","","","-5043","","","","","-13312","","","","","-17563","","","","","-17430","","","","","-18654","","","","","-13724","","","","","-17300","","","","","-15726","","","","","-15371","","","","","-12690","","","","",
"Kosovo","XKX","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Net migration","SM.POP.NETM","","","-100000","","","","","-245662","","","","","-353000","","","","","-75000","","","","","-50000","","","","","-50000","","","","","672800","","","","","-100000","","","","","-100000","","","","","0","","","","","-50000","","","","",
"South Africa","ZAF","Net migration","SM.POP.NETM","","","115210","","","","","200939","","","","","231569","","","","","73316","","","","","175112","","","","","-133363","","","","","804595","","","","","158911","","","","","1072076","","","","","1402640","","","","","600000","","","","",
"Zambia","ZMB","Net migration","SM.POP.NETM","","","2500","","","","","-4245","","","","","26662","","","","","17573","","","","","58483","","","","","2822","","","","","-22952","","","","","79445","","","","","-93014","","","","","-124044","","","","","-34490","","","","",
"Zimbabwe","ZWE","Net migration","SM.POP.NETM","","","-10001","","","","","-27996","","","","","-30360","","","","","-101516","","","","","141524","","","","","120505","","","","","-191803","","","","","-200000","","","","","-395554","","","","","-307650","","","","","-219922","","","","",
